评论ID,课程名,评论内容,评分,人工情感标注,评论日期
R040000,Python 数据分析,老师讲得很清晰案例丰富非常推荐,5,正面,2025-11-26
R040001,机器学习入门,部分章节跳过太多细节看不懂,3,负面,2025-11-22
R040002,机器学习入门,性价比高课后作业有挑战性但能学到东西,4,正面,2025-12-16
R040003,Excel 高级应用,性价比高课后作业有挑战性但能学到东西,4,正面,2026-01-23
R040004,SQL 实战,老师讲得很清晰案例丰富非常推荐,4,正面,2025-12-22
R040005,机器学习入门,课程节奏合适知识点覆盖全面,5,正面,2026-01-15
R040006,SQL 实战,老师很有耐心代码讲解细致入微,4,正面,2025-11-03
R040007,SQL 实战,性价比高课后作业有挑战性但能学到东西,4,正面,2025-11-11
R040008,Excel 高级应用,老师很有耐心代码讲解细致入微,4,正面,2025-11-09
R040009,SQL 实战,内容扎实答疑及时学习体验很好,5,正面,2026-01-03
R040010,SQL 实战,内容扎实答疑及时学习体验很好,4,正面,2025-11-21
R040011,Python 数据分析,老师很有耐心代码讲解细致入微,5,正面,2026-01-09
R040012,Python 数据分析,老师很有耐心代码讲解细致入微,4,正面,2025-11-24
R040013,Python 数据分析,老师很有耐心代码讲解细致入微,4,正面,2026-01-23
R040014,机器学习入门,节奏太快没基础跟不上,2,负面,2025-11-16
R040015,机器学习入门,答疑回复慢课程体验一般,3,负面,2025-11-21
R040016,SQL 实战,节奏太快没基础跟不上,1,负面,2025-11-16
R040017,Excel 高级应用,课程节奏合适知识点覆盖全面,4,正面,2025-11-20
R040018,Python 数据分析,性价比高课后作业有挑战性但能学到东西,4,正面,2025-12-12
R040019,SQL 实战,答疑回复慢课程体验一般,1,负面,2026-01-01
R040020,Excel 高级应用,性价比高课后作业有挑战性但能学到东西,4,正面,2026-01-13
R040021,Excel 高级应用,性价比高课后作业有挑战性但能学到东西,5,正面,2025-11-29
R040022,Python 数据分析,内容偏浅不适合进阶学员,1,负面,2025-12-23
R040023,Excel 高级应用,老师很有耐心代码讲解细致入微,4,正面,2025-11-24
R040024,机器学习入门,PPT太旧案例不够新,3,负面,2025-11-26
R040025,机器学习入门,性价比高课后作业有挑战性但能学到东西,5,正面,2026-01-13
R040026,Python 数据分析,性价比高课后作业有挑战性但能学到东西,4,正面,2025-11-02
R040027,SQL 实战,内容偏浅不适合进阶学员,3,负面,2026-01-12
R040028,Excel 高级应用,老师讲得很清晰案例丰富非常推荐,4,正面,2026-01-20
R040029,机器学习入门,答疑回复慢课程体验一般,3,负面,2025-11-17
R040030,Python 数据分析,PPT太旧案例不够新,3,负面,2025-11-11
R040031,SQL 实战,性价比高课后作业有挑战性但能学到东西,4,正面,2025-11-08
R040032,Python 数据分析,部分章节跳过太多细节看不懂,1,负面,2026-01-13
R040033,SQL 实战,老师讲得很清晰案例丰富非常推荐,4,正面,2026-01-22
R040034,Excel 高级应用,老师很有耐心代码讲解细致入微,4,正面,2025-12-16
R040035,Excel 高级应用,内容扎实答疑及时学习体验很好,4,正面,2025-12-02
R040036,Python 数据分析,课程节奏合适知识点覆盖全面,4,正面,2025-12-10
R040037,Excel 高级应用,节奏太快没基础跟不上,2,负面,2026-01-11
R040038,机器学习入门,课程节奏合适知识点覆盖全面,4,正面,2026-01-28
R040039,Python 数据分析,课程节奏合适知识点覆盖全面,4,正面,2025-12-02
R040040,Excel 高级应用,老师讲得很清晰案例丰富非常推荐,4,正面,2025-12-11
R040041,Python 数据分析,性价比高课后作业有挑战性但能学到东西,5,正面,2025-11-02
R040042,Excel 高级应用,内容偏浅不适合进阶学员,2,负面,2026-01-03
R040043,Excel 高级应用,老师很有耐心代码讲解细致入微,4,正面,2025-11-11
R040044,SQL 实战,PPT太旧案例不够新,2,负面,2025-11-26
R040045,Python 数据分析,答疑回复慢课程体验一般,3,负面,2025-11-25
R040046,Excel 高级应用,老师很有耐心代码讲解细致入微,5,正面,2026-01-23
R040047,机器学习入门,部分章节跳过太多细节看不懂,2,负面,2025-11-13
R040048,机器学习入门,性价比高课后作业有挑战性但能学到东西,5,正面,2026-01-13
R040049,Excel 高级应用,内容扎实答疑及时学习体验很好,4,正面,2026-01-15
R040050,Python 数据分析,老师讲得很清晰案例丰富非常推荐,5,正面,2026-01-21
R040051,Excel 高级应用,内容扎实答疑及时学习体验很好,4,正面,2025-12-27
R040052,Python 数据分析,课程节奏合适知识点覆盖全面,5,正面,2026-01-25
R040053,机器学习入门,老师讲得很清晰案例丰富非常推荐,5,正面,2026-01-06
R040054,机器学习入门,课程节奏合适知识点覆盖全面,4,正面,2025-12-26
R040055,SQL 实战,课程节奏合适知识点覆盖全面,4,正面,2026-01-24
R040056,Excel 高级应用,答疑回复慢课程体验一般,3,负面,2025-11-15
R040057,Python 数据分析,部分章节跳过太多细节看不懂,3,负面,2026-01-14
R040058,Excel 高级应用,老师很有耐心代码讲解细致入微,5,正面,2025-11-07
R040059,Python 数据分析,答疑回复慢课程体验一般,2,负面,2025-12-28
